state,Body Camera Laws
Colorado,"Colorado (HB 1285) (2015) created a body-worn camera grant program, a body-worn camera fund and a body-worn camera study committee. The grant program will be administered by the Division of Criminal Justice and funded by the body-worn camera fund. The fund will be in the state treasury and financed by annual legislative appropriations, as well as, any grants and donations received. The body-worn camera study group will examine best practices and submit a written report of its recommendations to the House and Senate Judiciary committees before March, 1 2016. The legislation also appropriates $89,893 for the 2015-16 fiscal year to the department of public safety to hire one additional staff person."
Connecticut,"Connecticut (HB 7103) (2015) requires the Commissioner of Emergency Services and Public Protection and the Police Officer Standards and Training Council to set minimum specifications for body-worn cameras. After July 1, 2016, each sworn member of the Division of State Police, certain special police forces and any municipal police department that is a recipient of a state grant is required to use body-worn cameras while interacting with the public. The law also enables all other departments to use body cameras. In addition it requires the cameras to be worn on an officer's outermost garment, positioned above the midline of such officer's torso. The law prohibits any law enforcement employee from editing, erasing, copying, sharing or otherwise altering or distributing in any manner any recording made by a body-worn camera. In addition, the law allows police to review their body camera recording to assist with preparing a police report.

If a police officer is giving a formal statement about the use of force or for a disciplinary investigation, the officer has the right to review any relevant recording in the presence of the officer's attorney or labor representative.

The law prohibits the use of body cameras for recording: communication between law enforcement agency personnel, during an encounter with an undercover officer or informant; when an officer is on break or engaged in personal business; when a person is undergoing a medical or psychological evaluation or treatment; for any person other than a suspect to a crime in a hospital, mental health or other medical facility setting. These instances are also not a public record. In addition, no data of a scene that involves a victim of domestic or sexual abuse, or a victim of homicide or suicide or a deceased victim of an accident, shall be subject to disclosure if it is an unwarranted invasion of personal privacy.
Under the law, if a police officer is aware that any body-worn camera is lost, damaged or malfunctioning, they must inform their supervisor. It also requires regular equipment inspection. The law requires the Office of Policy and Management to administer a grant program to provide grants-in-aid to reimburse each municipality for the costs associated with the purchase of body-worn cameras and data storage devices or services. The law also requires annual training for police officers to use body-worn cameras.

Connecticut (SB 1501) (2015) enables the Office of Policy and Management to make grants for the purchase of body-worn recording equipment and digital data storage devices. The total grants are not to exceed $15 million, provided $2 million shall be made available to the Department of Emergency Services and Public Protection for members of the state police and $13 million shall be made available to municipalities for local law enforcement officers.

Connecticut (SB 349) (2016) amends the state’s body camera law to prohibit the release of data, under the freedom of information act, that depicts a minor or that unreasonably invades personal privacy. Data depicting minors can be released if the minor’s parents’ consent, a police officer is subject of a misconduct investigation compelled by the minor or it is necessary for the defense of a person charged with a crime. 

Connecticut (HB 7308) (2017) establishes a task force to examine the use of body-worn recording equipment by state and municipal police. The study will address (1) whether statutes should address the use of electronic defense weapon recording equipment, (2) training associated with the use of such equipment, and (3) data storage and freedom of information issues associated with the data created by the use of such equipment. The law also specifies members of the task force.
The law also expands the state’s body camera grant program to include costs of electronic defense weapon recording equipment and first-time purchases of dashboard cameras.  It requires the commissioner of Emergency Services and Public Protection and the Police Officer Standards and Training Council to jointly maintain guidelines pertaining to the use of body-worn recording equipment."
Delaware,"Delaware (HCR 46) (2015) encourages the development and adoption of a single uniform policy regarding the implementation of body-worn cameras. The policy should address when the cameras should be used, how the date should be stored, how public access to the date should be handled, whether notices for recording should be given and penalties for violations of the body camera policy."
Columbia,"The District of Columbia (LB 343, LB 344) (2015) establishes that Metropolitan Police Department body-worn cameras funded by any funds made available in Fiscal Year 2016 shall not be worn until rules are approved by the Council.

The District of Columbia (LB 158, B283) (2015) establishes that the Body-Worn Camera Program in the Metropolitan Police Department in Fiscal Year 2016 shall not be implemented until there is certification by the Chief Financial Officer that the cost of public access to body-worn camera recordings is funded in the Fiscal Year 2016 budget and four-year financial plan. The law requires the mayor to establish body camera rules that set standards for public access to recordings, set retention standard for body camera recordings, procedures for auditing the program, data security and cost for FOIA requests. The mayor must establish and consult with an advisory group to provide recommendations for the proposed rules. The rules must be approved by the D.C. Council.

In addition, the law requires that every six months the mayor make information publically available detailing the hours of body camera recordings made, how many times the cameras failed and reasons or their failure, how many internal investigations were opened for failure to turn on body cameras, how many times recordings were used in internal affairs investigations, how many times videos were used to investigate claims made by an individual or group, how body cameras are distributed amongst districts, and the number of FOIA requests. The Metropolitan Police Department shall provide the Office of Police Complaints with direct access to body-worn camera recordings.

The District of Columbia (LR 483) (2015) allows public access to certain body-worn camera recordings recorded by the Metropolitan Police Department and amends the Fiscal Year 16 Budget Support Act of 15 to require the mayor to collect additional data. It also establishes the Metropolitan Police Department Body-Worn Camera Fund and to adopt regulations governing the Metropolitan Police Departments Body-Worn Camera Program.

The District of Columbia (B 351) (2015) created the Metropolitan Police Department Body-Worn Camera Fund, which will be funded by all FOIA request fees from body camera recordings, appropriations, federal grants and donations. In addition, the law gives the Metropolitan Police Department 25 days to respond to FOIA requests with footage or with notice it will take an additional 10 days."
Florida,"Florida (SB 248) (2015) creates standards for law enforcement’s release of body-worn camera video under the state’s open records law. Specifically, the law generally prohibits the release of video taken in a person’s residence, in a medical facility or in an area most people would consider private. It also sets standards related to whom police must share video with, including those who are the subject of the recording. The law also gives direction to courts evaluating whether video should be released. Factors the judiciary may consider include whether the disclosure is necessary to advance a compelling interest, whether disclosure would reveal information of a highly sensitive and personal nature, whether denying its release is necessary to prevent a serious threat to the fair administration of justice, and if the recording could be redacted to protect privacy interests.

Florida (HB 93) (2016) requires law enforcement agencies that permit their officers to wear body cameras to establish policies for their proper use, maintenance and storage of their data. Agencies must also ensure their officers are trained in using their body camera equipment and store data in accordance with the state’s public records laws. The law also requires agencies to conduct a periodic review of actual agency body camera practices to ensure conformity with the agency's policies and procedures.

Florida (HB 5001) (2016) appropriated $145,413 for a body camera pilot project at Sumter Correctional Institution. Funding will provide for every correctional officer on duty supervising youthful offenders to be equipped with body cameras. An additional appropriation of $250,000 is provided for grants for county sheriff's offices to purchase body-worn cameras for deputies. The sheriff's office must make an in-kind or cash match equal to the amount of the grant. Preference for grants is given to sheriff departments in areas with denser populations.

Florida (SB 7022) (2016) alters an exemption to the disclosure requirement of a public record. The law narrows an exemption for the release a photograph, video or audio recording that depicts or records the killing of a person to the killing of a law enforcement officer who was acting in his or her official duties.

Florida (HB 305) (2017) requires individual law enforcement department body camera policies to include a provision permitting officers to review the recorded footage from the body camera, upon his or her own initiative or request, before writing a report or providing a statement regarding any event arising within the scope of his or her official duties."
Georgia,"Georgia (SB 94)(2015) established standards for the release of body camera data for public record requests. The law excludes body camera recordings from public records when they are taken in a place where there is a reasonable expectation of privacy and no criminal investigation is pending. The law creates exceptions for a subject of the video, a parent of a minor in the video and persons party to a criminal or civil action relevant to the video. The code also provides an exception to the states eavesdropping law, enabling law enforcement officers to make recordings as they perform their official duties.

Georgia (HB 976) (2016) requires video to be retained for 180 days generally. It must be retained for 30 months if the recording is part of a criminal investigation, shows an accident, shows detainment, depicts an arrest or use of force, or is reasonably necessary for pending litigation. Governing bodies have no duty to redact the video. Imposes an additional $10 fee for creating recordings."
Illinois,"Illinois (SB 1304) (2015) requires the Board of Police Training and Standards to develop guidelines for body-worn cameras by law enforcement agencies. The written policy must include, at a minimum, that cameras be equipped with pre-event recording capacity and be able to record for at least 10 hours. It must also require cameras to be on at all times the officer is in uniform and responding to calls for service or is engaged in any law enforcement activity. The law also provides that if exigent circumstances exist that prevent the camera from being turned on, the camera must be turned on as soon as possible.

The law requires cameras be turned off when the victim of a crime requests that the camera be turned off, when a witness of a crime who wishes to report a crime requests that the camera be turned off, or if the officer is interacting with a confidential informant. However, an officer may continue to record or resume recording a victim or a witness, if exigent circumstances exist. Under these circumstances the officer must indicate on the recording the reason for continuing to record despite the request of the victim or witness.

Cameras may be turned off when the officer is engaged in community caretaking functions. Under the law, the officer must provide notice of recording to any person who has a reasonable expectation of privacy. Proof of the officer’s notice must be evident in the recording. If exigent circumstances exist which prevent the officer from providing notice, notice must be provided as soon as practicable.

The law requires that data redaction, labeling or duplication be only handled by staff designated for those tasks. The officer who recorded data and their supervisor can access and review recordings prior to completing incident reports so long as their review is documented. The law also mandates recordings be kept for 90 days without being altered. Videos will be kept for two years if they are related to an incident where a complaint has been filed, the officer fired their weapon, death or great injury occurred to any person, the incident resulted in a detention or arrest, the officer is subject to internal or criminal investigations. If related to a pending investigation, the data can be deleted after its final disposition.

The law prevents recordings from being used to discipline officers unless a formal or informal complaint of misconduct has been made; a use of force incident has occurred; or as corroboration of other evidence of misconduct.

The law requires police departments to ensure proper maintenance of body camera equipment and to note any defects. Upon becoming aware, officers must as soon as practical document and notify the appropriate supervisor of any technical difficulties, failures, or problems with the officer-worn body camera or associated equipment. Upon receiving notice, the appropriate supervisor shall make every reasonable effort to correct and repair any of the officer-worn body camera equipment.

The law also excludes body camera data from the Freedom of Information Act unless, the data is flagged due to the filing of a complaint, it shows: discharge of a firearm, use of force, arrest or detention, or a person’s death or bodily harm, or if a victim or witness gives their permission for the videos release.

Each law enforcement agency which employs the use of officer-worn body cameras must report annually a brief overview of the makeup of the agency, including the number of officers utilizing officer-worn body cameras; the number of officer-worn body cameras utilized by the law enforcement agency; any technical issues with the equipment and how those issues were remedied; a brief description of the review process used by supervisors within the law enforcement agency; for each recording used in prosecutions of conservation, criminal, or traffic offenses or municipal ordinance violations: the time, date, location, and precinct of the incident; the offense charged and the date charges were filed; and any other information relevant to the administration of the program.

The law enables body camera data to be used as evidence in any administrative, judicial, legislative, or disciplinary proceeding and excludes the data from eavesdropping laws.

The law requires each department using a body camera program to train officers who utilize the equipment."
Indiana,"Indiana (HB 1019) (2016) sets requirements for the public to request body camera recordings under the state’s open record laws. Requests must be in writing and must specify the date, location and approximate time of incident, and the name of at least one person, other than a law enforcement officer, who was directly involved in the law enforcement activity.

The law requires a public agency to permit certain persons, termed “requestors,” to view a recording at least twice. Requestors include anyone depicted in a recording, an owner of real property depicted in a recording, a crime victim or a person who suffers a loss due to personal injury or property damage. These individuals can be awarded attorney's fees, court costs and other reasonable expenses if they prevail in an action against a public agency to view a recording. It also requires a public agency to permit all persons to inspect and copy a recording unless the public agency can demonstrate that release of the recording would: pose a significant risk of harm to a person or the public, interfere with a person's ability to get a fair trial, will affect an ongoing investigation or will not serve the public interest. Provides that a recording that captures information relating to airport security may not be released for public inspection without the approval of the airport operator.

State agencies are also required to retain an unaltered, unobscured law enforcement recording for at least 280 days, localities are required to retain recordings for 190 days. If a “requestor” asks an agency for it to be held longer or if a formal or informal complaint is filed with the public agency regarding a law enforcement activity the public agency shall automatically retain the recording for at least two years. Recordings can be retained by police for training for any length of time, and if the recording is used in a criminal, civil, or administrative proceeding, the public agency shall retain the recording until final disposition of all appeals and order from the court. The law caps the fee for copying a law enforcement recording at $150. Specifies information that a public agency may or must obscure from a law enforcement recording before disclosing it. Exempts police recordings from the state’s prohibition against placing a camera on a person’s private property."
Kansas,"Kansas (SB 22) (2016) provides that every body camera recording is a criminal investigation record and public record under the state’s open record law.  In addition to disclosure under open records, the law also allows for viewing by anyone who is the subject of a recording, or their guardian or legal representative. The law enforcement agency may charge a reasonable fee for such services."
Kentucky,Kentucky (HB 124) (2016) enables police departments to submit grants for body camera funding to the account of the Kentucky Office of Homeland Security. Requires any department that applies for these funds for body cameras to first implement a written policy regarding their use.
Louisiana,"Louisiana (HCR 180) (2015) created the Law Enforcement Body camera Implementation Task Force to study and make recommendations for the development and implementation of best practices for body cameras. The task force must submit a final report of their findings and recommendations to specified officials from all three branches of government. The recommendations must include guidelines for bodycamera use, officer training, proper data storage, and release of audio and video data to the public. The report should also address whether or not legislation is needed.

Louisiana (SB 398) (2016) prohibits the release of body-worn camera footage that is found by the data’s custodian to violate a person’s reasonable expectation of privacy. This footage can be released pursuant to a court order unless it contains footage that would violate a person’s expectation of privacy recorded while the officer is not acting in his or her professional capacity. The cost for producing such video shall be set by the court. Requests for the production of body camera footage must contain reasonable specificity as to the date, time, persons and location involved. Under the law, the custodian of the record can request production costs upfront.

Louisiana (HCR 59) (2016) re-creates the Louisiana Law Enforcement Body Camera Implementation Task Force to study and make recommendations regarding the requirements for implementation and development of procedures for the use of the body cameras and access to body camera recordings. Recommendations must include: limitations on the situations in which peace officers are permitted to wear body cameras; guidelines for the proper storage, retention, and release of audio and video data recorded by body cameras; guidelines regarding the law enforcement training relative to each law enforcement agency's policies and procedures on the use of body cameras; legislation, if necessary, to authorize the use of body cameras by peace officers.

Louisiana (SCR 31) (2017) continues the work of the Louisiana Law Enforcement Body Camera Implementation Task Force to study and make recommendations regarding the requirements for implementation and development of best procedures for the use of body cameras and policies for access to and use of body camera recordings by law enforcement agencies in this state, and to provide for a written report of its recommendations and findings not later than 60 days prior to the 2018 Regular Session of the Louisiana Legislature."
Massachusetts,"Massachusetts (HB 3829) (2015) appropriated $250,000 in competitive grant funds to municipalities, administered by the executive office of public safety and security, for body camera police pilot programs. The programs must aim to improve public safety, enhance community-police relations, foster better accountability for the actions of police personnel, deter inappropriate conduct by police officers and members of the public, capture digital audio-video evidence, assist with officer training and tool for officer safety and protect privacy. The secretary of public safety and security shall distribute grants on a competitive basis, reviewing applicants’ plans for camera use, privacy protections, video retention and access and program evaluation."
Maryland,"Maryland (HB 533, SB 482) (2015) created a “ Commission Regarding the Implementation and Use of Body cameras by Law Enforcement Officers.” It was charged with studying and making recommendations regarding best practices for body cameras. The law also requires the Maryland Police Training Commission to develop and publish an online policy for body camera use that addresses a multitude of factors, including when a recording is mandatory, when it is prohibited, how access to recordings is handled, procedures for review and retention of recordings, and consequences for violating the agency’s body-worn camera policy."
Michigan,"Michigan (HB 4427) (2017) defines “body-worn camera,” “evidentiary audio and video recording” and “private place.” Provides that the disclosure of any audio or video recording recorded by a body-worn camera is subject to the protections provided for crime victims in the crime victim’s rights act. Provides that generally a recording recorded by a law enforcement officer with a body-worn camera in a private place is exempt from disclosure under the freedom of information act. Provides that any of the following individuals may request a copy of an audio and video recording recorded by a law enforcement officer with a body-worn camera in a private place: (1) An individual who is the subject of the audio and video recording, (2) An individual whose property has been seized or damaged in relation to a crime to which the audio and video recording is related. (3) Or such person’s attorney or legal guardian.

Provides that an audio or video recording from a body-worn camera that is retained by a law enforcement agency in connection with an ongoing criminal investigation or an ongoing internal investigation is not a public record and is exempt from disclosure under the freedom of information act, if it would: (1) Interfere with law enforcement proceedings. (2) Deprive a person of the right to a fair trial or impartial adjudication. (3) Constitute an unwarranted invasion of personal privacy. (4) Disclose the identity of a confidential source or, if the record is compiled by a law enforcement agency in the course of a criminal investigation, disclose confidential information furnished only by a confidential source. (5) Disclose law enforcement investigative techniques or procedures. (6) Endanger the life or physical safety of law enforcement personnel, or (7) Disclose information regarding a crime victim in violation of the crime victim’s rights act.

Provides that generally, a law enforcement agency shall retain an evidentiary audio and video recording recorded by a body-worn camera for not less than 30 days from the date the recording is made. If the recordings are subject of an ongoing criminal or internal investigation, or an ongoing criminal prosecution or civil action, it must be kept until the completion of the investigation or legal proceeding. If the recording is related to a formal complaint against a law enforcement officer or agency, it must be kept at least three years. Provides that an absence of, or inability to produce, the video does not create any presumption of truth for alleged facts.

Enables law enforcement agencies to charge a fee for a copy of an audio and video recording recorded by a law enforcement officer with a body-worn camera. Requires law enforcement agencies that utilizes body-worn cameras to develop a written policy regarding their use."
